"Sourcekey","EMA_EPPR_PWG_NUS_DPG"
"Date","U.S. Residual Fuel Oil Wholesale/Resale Price by Refiners (Dollars per Gallon)"
"1983-01-15","0.603"
"1983-02-15","0.585"
"1983-03-15","0.577"
"1983-04-15","0.577"
"1983-05-15","0.592"
"1983-06-15","0.602"
"1983-07-15","0.622"
"1983-08-15","0.638"
"1983-09-15","0.646"
"1983-10-15","0.647"
"1983-11-15","0.636"
"1983-12-15","0.623"
"1984-01-15","0.648"
"1984-02-15","0.675"
"1984-03-15","0.645"
"1984-04-15","0.662"
"1984-05-15","0.66"
"1984-06-15","0.672"
"1984-07-15","0.65"
"1984-08-15","0.636"
"1984-09-15","0.645"
"1984-10-15","0.651"
"1984-11-15","0.646"
"1984-12-15","0.646"
"1985-01-15","0.648"
"1985-02-15","0.65"
"1985-03-15","0.624"
"1985-04-15","0.603"
"1985-05-15","0.55"
"1985-06-15","0.524"
"1985-07-15","0.539"
"1985-08-15","0.532"
"1985-09-15","0.561"
"1985-10-15","0.549"
"1985-11-15","0.536"
"1985-12-15","0.551"
"1986-01-15","0.518"
"1986-02-15","0.387"
"1986-03-15","0.318"
"1986-04-15","0.28"
"1986-05-15","0.265"
"1986-06-15","0.262"
"1986-07-15","0.219"
"1986-08-15","0.234"
"1986-09-15","0.281"
"1986-10-15","0.276"
"1986-11-15","0.274"
"1986-12-15","0.304"
"1987-01-15","0.374"
"1987-02-15","0.371"
"1987-03-15","0.358"
"1987-04-15","0.371"
"1987-05-15","0.396"
"1987-06-15","0.42"
"1987-07-15","0.434"
"1987-08-15","0.429"
"1987-09-15","0.391"
"1987-10-15","0.388"
"1987-11-15","0.375"
"1987-12-15","0.339"
"1988-01-15","0.324"
"1988-02-15","0.322"
"1988-03-15","0.286"
"1988-04-15","0.302"
"1988-05-15","0.315"
"1988-06-15","0.31"
"1988-07-15","0.295"
"1988-08-15","0.306"
"1988-09-15","0.295"
"1988-10-15","0.256"
"1988-11-15","0.28"
"1988-12-15","0.298"
"1989-01-15","0.328"
"1989-02-15","0.332"
"1989-03-15","0.321"
"1989-04-15","0.381"
"1989-05-15","0.376"
"1989-06-15","0.355"
"1989-07-15","0.357"
"1989-08-15","0.344"
"1989-09-15","0.351"
"1989-10-15","0.369"
"1989-11-15","0.366"
"1989-12-15","0.421"
"1990-01-15","0.482"
"1990-02-15","0.381"
"1990-03-15","0.348"
"1990-04-15","0.334"
"1990-05-15","0.305"
"1990-06-15","0.271"
"1990-07-15","0.291"
"1990-08-15","0.445"
"1990-09-15","0.509"
"1990-10-15","0.577"
"1990-11-15","0.556"
"1990-12-15","0.486"
"1991-01-15","0.502"
"1991-02-15","0.334"
"1991-03-15","0.282"
"1991-04-15","0.287"
"1991-05-15","0.303"
"1991-06-15","0.297"
"1991-07-15","0.288"
"1991-08-15","0.279"
"1991-09-15","0.279"
"1991-10-15","0.295"
"1991-11-15","0.307"
"1991-12-15","0.289"
"1992-01-15","0.244"
"1992-02-15","0.256"
"1992-03-15","0.246"
"1992-04-15","0.274"
"1992-05-15","0.302"
"1992-06-15","0.325"
"1992-07-15","0.347"
"1992-08-15","0.347"
"1992-09-15","0.348"
"1992-10-15","0.374"
"1992-11-15","0.359"
"1992-12-15","0.306"
"1993-01-15","0.315"
"1993-02-15","0.309"
"1993-03-15","0.329"
"1993-04-15","0.333"
"1993-05-15","0.311"
"1993-06-15","0.302"
"1993-07-15","0.275"
"1993-08-15","0.272"
"1993-09-15","0.271"
"1993-10-15","0.287"
"1993-11-15","0.262"
"1993-12-15","0.248"
"1994-01-15","0.283"
"1994-02-15","0.338"
"1994-03-15","0.274"
"1994-04-15","0.275"
"1994-05-15","0.295"
"1994-06-15","0.335"
"1994-07-15","0.362"
"1994-08-15","0.352"
"1994-09-15","0.301"
"1994-10-15","0.316"
"1994-11-15","0.342"
"1994-12-15","0.341"
"1995-01-15","0.366"
"1995-02-15","0.354"
"1995-03-15","0.37"
"1995-04-15","0.365"
"1995-05-15","0.388"
"1995-06-15","0.387"
"1995-07-15","0.353"
"1995-08-15","0.331"
"1995-09-15","0.338"
"1995-10-15","0.341"
"1995-11-15","0.344"
"1995-12-15","0.406"
"1996-01-15","0.452"
"1996-02-15","0.401"
"1996-03-15","0.42"
"1996-04-15","0.437"
"1996-05-15","0.41"
"1996-06-15","0.374"
"1996-07-15","0.389"
"1996-08-15","0.39"
"1996-09-15","0.412"
"1996-10-15","0.45"
"1996-11-15","0.463"
"1996-12-15","0.46"
"1997-01-15","0.429"
"1997-02-15","0.393"
"1997-03-15","0.358"
"1997-04-15","0.361"
"1997-05-15","0.358"
"1997-06-15","0.367"
"1997-07-15","0.365"
"1997-08-15","0.383"
"1997-09-15","0.387"
"1997-10-15","0.42"
"1997-11-15","0.435"
"1997-12-15","0.356"
"1998-01-15","0.311"
"1998-02-15","0.283"
"1998-03-15","0.264"
"1998-04-15","0.303"
"1998-05-15","0.295"
"1998-06-15","0.279"
"1998-07-15","0.296"
"1998-08-15","0.265"
"1998-09-15","0.279"
"1998-10-15","0.282"
"1998-11-15","0.26"
"1998-12-15","0.233"
"1999-01-15","0.256"
"1999-02-15","0.219"
"1999-03-15","0.251"
"1999-04-15","0.304"
"1999-05-15","0.325"
"1999-06-15","0.326"
"1999-07-15","0.361"
"1999-08-15","0.427"
"1999-09-15","0.467"
"1999-10-15","0.448"
"1999-11-15","0.468"
"1999-12-15","0.472"
"2000-01-15","0.49"
"2000-02-15","0.539"
"2000-03-15","0.519"
"2000-04-15","0.482"
"2000-05-15","0.549"
"2000-06-15","0.6"
"2000-07-15","0.589"
"2000-08-15","0.539"
"2000-09-15","0.645"
"2000-10-15","0.638"
"2000-11-15","0.613"
"2000-12-15","0.579"
"2001-01-15","0.564"
"2001-02-15","0.559"
"2001-03-15","0.518"
"2001-04-15","0.483"
"2001-05-15","0.503"
"2001-06-15","0.479"
"2001-07-15","0.463"
"2001-08-15","0.457"
"2001-09-15","0.489"
"2001-10-15","0.424"
"2001-11-15","0.369"
"2001-12-15","0.363"
"2002-01-15","0.382"
"2002-02-15","0.359"
"2002-03-15","0.437"
"2002-04-15","0.512"
"2002-05-15","0.545"
"2002-06-15","0.534"
"2002-07-15","0.537"
"2002-08-15","0.584"
"2002-09-15","0.587"
"2002-10-15","0.607"
"2002-11-15","0.587"
"2002-12-15","0.641"
"2003-01-15","0.731"
"2003-02-15","0.873"
"2003-03-15","0.774"
"2003-04-15","0.569"
"2003-05-15","0.572"
"2003-06-15","0.58"
"2003-07-15","0.617"
"2003-08-15","0.634"
"2003-09-15","0.586"
"2003-10-15","0.601"
"2003-11-15","0.627"
"2003-12-15","0.623"
"2004-01-15","0.69"
"2004-02-15","0.697"
"2004-03-15","0.628"
"2004-04-15","0.646"
"2004-05-15","0.695"
"2004-06-15","0.701"
"2004-07-15","0.668"
"2004-08-15","0.684"
"2004-09-15","0.679"
"2004-10-15","0.786"
"2004-11-15","0.712"
"2004-12-15","0.626"
"2005-01-15","0.721"
"2005-02-15","0.722"
"2005-03-15","0.829"
"2005-04-15","0.896"
"2005-05-15","0.891"
"2005-06-15","0.905"
"2005-07-15","1.011"
"2005-08-15","1.151"
"2005-09-15","1.219"
"2005-10-15","1.247"
"2005-11-15","1.114"
"2005-12-15","1.196"
"2006-01-15","1.182"
"2006-02-15","1.194"
"2006-03-15","1.192"
"2006-04-15","1.18"
"2006-05-15","1.243"
"2006-06-15","1.169"
"2006-07-15","1.195"
"2006-08-15","1.246"
"2006-09-15","1.073"
"2006-10-15","1.025"
"2006-11-15","1.025"
"2006-12-15","1.043"
"2007-01-15","0.976"
"2007-02-15","1.073"
"2007-03-15","1.076"
"2007-04-15","1.15"
"2007-05-15","1.238"
"2007-06-15","1.28"
"2007-07-15","1.378"
"2007-08-15","1.367"
"2007-09-15","1.393"
"2007-10-15","1.536"
"2007-11-15","1.742"
"2007-12-15","1.765"
"2008-01-15","1.764"
"2008-02-15","1.714"
"2008-03-15","1.769"
"2008-04-15","1.88"
"2008-05-15","2.042"
"2008-06-15","2.274"
"2008-07-15","2.636"
"2008-08-15","2.486"
"2008-09-15","2.179"
"2008-10-15","1.592"
"2008-11-15","1.004"
"2008-12-15","0.876"
"2009-01-15","0.926"
"2009-02-15","0.954"
"2009-03-15","0.952"
"2009-04-15","1.017"
"2009-05-15","1.195"
"2009-06-15","1.381"
"2009-07-15","1.405"
"2009-08-15","1.572"
"2009-09-15","1.549"
"2009-10-15","1.56"
"2009-11-15","1.711"
"2009-12-15","1.685"
"2010-01-15","1.721"
"2010-02-15","1.666"
"2010-03-15","1.711"
"2010-04-15","1.748"
"2010-05-15","1.675"
"2010-06-15","1.612"
"2010-07-15","1.629"
"2010-08-15","1.642"
"2010-09-15","1.632"
"2010-10-15","1.712"
"2010-11-15","1.768"
"2010-12-15","1.865"
"2011-01-15","1.918"
"2011-02-15","2.086"
"2011-03-15","2.321"
"2011-04-15","2.448"
"2011-05-15","2.392"
"2011-06-15","2.402"
"2011-07-15","2.474"
"2011-08-15","2.392"
"2011-09-15","2.369"
"2011-10-15","2.406"
"2011-11-15","2.459"
"2011-12-15","2.371"
"2012-01-15","2.512"
"2012-02-15","2.654"
"2012-03-15","2.772"
"2012-04-15","2.67"
"2012-05-15","2.527"
"2012-06-15","2.211"
"2012-07-15","2.234"
"2012-08-15","2.483"
"2012-09-15","2.501"
"2012-10-15","2.409"
"2012-11-15","2.3"
"2012-12-15","2.268"
"2013-01-15","2.388"
"2013-02-15","2.415"
"2013-03-15","2.346"
"2013-04-15","2.246"
"2013-05-15","2.24"
"2013-06-15","2.234"
"2013-07-15","2.242"
"2013-08-15","2.277"
"2013-09-15","2.286"
"2013-10-15","2.255"
"2013-11-15","2.224"
"2013-12-15","2.209"
"2014-01-15","2.173"
"2014-02-15","2.207"
"2014-03-15","2.255"
"2014-04-15","2.226"
"2014-05-15","2.267"
"2014-06-15","2.293"
"2014-07-15","2.223"
"2014-08-15","2.136"
"2014-09-15","2.077"
"2014-10-15","1.866"
"2014-11-15","1.611"
"2014-12-15","1.287"
"2015-01-15","1.023"
"2015-02-15","1.126"
"2015-03-15","1.126"
"2015-04-15","1.114"
"2015-05-15","1.234"
"2015-06-15","1.233"
"2015-07-15","1.122"
"2015-08-15","0.918"
"2015-09-15","0.852"
"2015-10-15","0.836"
"2015-11-15","0.787"
"2015-12-15","0.633"
"2016-01-15","0.499"
"2016-02-15","0.504"
"2016-03-15","0.558"
"2016-04-15","0.616"
"2016-05-15","0.723"
"2016-06-15","0.825"
"2016-07-15","0.835"
"2016-08-15","0.815"
"2016-09-15","0.854"
"2016-10-15","0.938"
"2016-11-15","0.908"
"2016-12-15","1.03"
"2017-01-15","1.119"
"2017-02-15","1.121"
"2017-03-15","1.076"
