"http://puc.hawaii.gov/reports/energy-reports/renewable-portfolio-standards-rps-annual-reports/","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","LOOKUPKEY"
"RPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Renewable Electricity","HECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","1999-2004 includes HPOWER, kapaa landfill gas, minucipal solid waste, and photovoltaic systems","327000","325000","303000","327000","368200","369400","333000","395500","327700","363014","379298","344809","484826","530853","801009","1029070","1159629","1292042","1362162","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","Hydro:","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","               Hydro-Wailuku","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Small Hydro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Hydro-Helco owned","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Biomass & Hyrdro HC&S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Geothermal:","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","               PGV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Wind: ","","","","0","0","0","0","0","0","0","0","0","0","0","23","64024","75410","121691","183864","216197","233531","191560","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","           HRD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Kaheawa Wind Power (KWP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Lalamilo Wind Farm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Pikini Nui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Other wind including Kamaoa","","","","","","","","","","","","","","","23","64024","75410","121691","183864","216197","233531","191560","","","","","","","","","","","","","","D18"
"","","Biomass: ","","","","","","","","","","333000","395000","326000","359011","360323","314614","321689","302398","374569","390011","385846","418735","381138","","","","","","","","","","","","","","D14"
"","","                  Biomass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","`"
"","","                  Municipal Solid Waste","","","","","","","","","","40000","56000","24000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Solar: ","","","","0","0","0","0","0","0","400","500","1700","4003","15668","28597","54391","131786","276241","419020","505162","602285","734441","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","            Photovoltaic","","","","","","","","","","400","500","1700","4003","15668","28597","54189","125882","248938","381657","464412","548562","605502","","","","","","","","","","","","","","D20"
"","","            Utility Solar","","","","","","","","","","","","","","","","202","5904","27303","37363","40750","53723","128939","","","","","","","","","","","","","","D16"
"","","Biofuels: ","","","","","","","","","","","","","","3307","1575","44722","21259","28508","36175","52424","37491","55023","","","","","","","","","","","","","","D19"
"","","            Biodiesel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HELCORenewable Electricity","Renewable Electricity","HELCO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","1999-2004 includes PGV, hydro, wind, other hydro, wind-kamoa, photovoltaic","260000","311000","274000","123000","216400","256500","269600","295200","393100","403486","377730","383622","453349","507062","517375","503140","518311","578770","592251","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","Hydro:","","","","0","0","0","0","0","0","40000","56000","42300","36053","59889","29189","45300","57613","35410","43005","63275","54108","29635","","","","","","","","","","","","","","E17"
"","","               Hydro-Wailuku","","","","","","","","","","30000","31000","27000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Small Hydro","","","","","","","","","","1000","1000","300","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Hydro-Helco owned","","","","","","","","","","9000","24000","15000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Biomass & Hyrdro HC&S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Geothermal:","","","","0","0","0","0","0","0","221000","212000","230000","234334","167591","201587","232906","266234","281417","255027","230495","260116","322609","","","","","","","","","","","","","","E15"
"","","               PGV","","","","","","","","","","221000","212000","230000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Wind: ","","","","0","0","0","0","0","0","7000","25000","116400","128306","140687","140956","157329","154688","151552","136096","132293","145691","109626","","","","","","","","","","","","","","E18"
"","","           HRD","","","","","","","","","","","23000","34000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Kaheawa Wind Power (KWP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Lalamilo Wind Farm","","","","","","","","","","2000","1000","400","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Pikini Nui","","","","","","","","","","5000","","82000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Other wind including Kamaoa","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Biomass: ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","                  Biomass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","                  Municipal Solid Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Solar: ","","","","0","0","0","0","0","0","1600","2200","4400","4793","9563","11890","17814","28527","48996","69012","92248","118855","130381","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","            Photovoltaic","","","","","","","","","","1600","2200","4400","4793","9563","11873","17738","28282","47471","67444","89691","114784","126157","","","","","","","","","","","","","","E20"
"","","            Utility Solar","","","","","","","","","","","","","","","17","76","245","1525","1568","2557","4071","4224","","","","","","","","","","","","","","E16"
"","","Biofuels: ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","            Biodiesel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECORenewable Electricity","Renewable Electricity","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","199-2004 includes biomass and hydro, biomass, photovoltaic","55000","45000","38000","69000","66000","74200","75300","136700","196300","171929","165835","182560","202270","238319","330067","381351","402832","412307","373980","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","Hydro:","","","","0","0","0","0","0","0","75000","79000","69000","5910","10009","6701","6206","7453","4745","8150","9823","968","650","","","","","","","","","","","","","","F17"
"","","               Hydro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Small Hydro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Hydro-Helco owned","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","               Biomass & Hyrdro HC&S","","","","","","","","","","75000","79000","69000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Geothermal:","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","               PGV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Wind: ","","","","0","0","0","0","0","0","0","57000","126000","108987","109668","120227","123023","158158","230305","257907","264291","277456","231688","","","","","","","","","","","","","","F18"
"","","           HRD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Kaheawa Wind Power (KWP)","","","","","","","","","","","57000","126000","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Lalamilo Wind Farm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Pikini Nui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","           Other wind including Kamaoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Biomass: ","","","","","","","","","","","","","53587","38432","44238","43577","39392","41122","43153","30870","4383","","","","","","","","","","","","","","","F14"
"","","                  Biomass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","                  Municipal Solid Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Solar: ","","","","0","0","0","0","0","0","300","700","1300","1906","6156","9809","14932","31968","52614","71223","96860","128516","140683","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","            Photovoltaic","","","","","","","","","","300","700","1300","1906","4766","8039","13041","28474","47517","65899","88956","119438","130978","","","","","","","","","","","","","","F20"
"","","            Utility Solar","","","","","","","","","","","","","","1390","1770","1891","3494","5097","5324","7904","9078","9705","","","","","","","","","","","","","","F16"
"","","Biofuels: ","","","","","","","","","","0","0","0","1539","1570","1585","14532","1348","1281","918","988","984","959","","","","","","","","","","","","","","F19"
"","","            Biodiesel","","","","","","","","","","100","200","1400","0","0","0","0","","","","","","","","","","","","","","","","","","","",""
"KIUCRenewable Electricity","Renewable Electricity","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://kauai.coopwebbuilder.com/sites/kauai.coopwebbuilder.com/files/irp2008_2008_kiuc_irp.pdf","","0","0","0","0","25556","37838","38132","37735","27409","39170","41954","40427","48828","54064","70116","90607","118027","182904","197443","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","hydro","  KIUC Hydro","","","","","","","","558","4232","4232","4561","926","7968","7454","7896","6974","7591","8063","7598","6961","6904","6455","","","","","","","","","","","","","","10"
"","hydro","  Gay & Robinson Hydro","","","","","","","","2521","3501","3501","3921","2845","2385","3574","3450","4871","4142","3355","2878","3051","4183","3547","","","","","","","","","","","","","","11"
"","hydro","  Kauai Coffee Hydro","","","","","","","","20331","26292","26292","25613","20612","22149","21756","18296","21208","23038","18501","18693","19566","19263","19010","","","","","","","","","","","","","","12"
"","hydro","  KAA Hydro","","","","","","","","2080","3466","3466","3024","2079","3106","4141","4374","5457","3775","3154","4922","3915","3804","1637","","","","","","","","","","","","","","13"
"","hydro","  Green Energy Hydro","","","","","","","","","","","","","","","","","366","278","200","153","147","106","","","","","","","","","","","","","","14"
"","hydro","  Pioneer Solar","","","","","","","","","","","","","","5","189","407","23","22","372","434","435","435","","","","","","","","","","","","","","15"
"","solar","  Kapaa Solar","","","","","","","","","","","","","","","","21","1858","1827","1759","1787","1802","1826","","","","","","","","","","","","","","16"
"","solar","  MP2 Kaneshiro Solar","","","","","","","","","","","","","","","","1468","","530","535","547","550","547","","","","","","","","","","","","","","17"
"","solar","  McBryde Solar","","","","","","","","","","","","","","","","","","11945","11393","10772","10260","10612","","","","","","","","","","","","","","18"
"","solar","  KRS2 Koala Solar","","","","","","","","","","","","","","","","","","","10042","20654","21604","20934","","","","","","","","","","","","","","19"
"","solar","  KRS1 Anahola Solar","","","","","","","","","","","","","","","","","","","","6456","20275","20662","","","","","","","","","","","","","","20"
"","biofuel","  Green Energy Biomass","","","","","","","","","","","","","","","","","","","","5465","49656","46192","","","","","","","","","","","","","","21"
"","","  SolarCity / Tesla Solar and Storage","","","","","","","","","","","","","","","","","","","","","","14486","","","","","","","","","","","","","","22"
"","","  <empty row for future use>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23"
"","","  <empty row for future use>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24"
"","","  <empty row for future use>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25"
"","","  <empty row for future use>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26"
"","","  <empty row for future use>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27"
"","","  NEM","","","","","","","","","","","","","","","","","","","","1256","1247","1245","","","","","","","","","","","","","","28"
"","","  NEM Pilot","","","","","","","","","","","","","","","","","","","","3601","5595","5909","","","","","","","","","","","","","","29"
"","","  Larger Systems (No Buyback)","","","","","","","","","","","","","","","","","","","","6912","6970","8438","","","","","","","","","","","","","","30"
"","","  Schedule Q","","","","","","","","","","","","","","","","","","","","26497","30209","35402","","","","","","","","","","","","","","31"
"","biofuel","Waste Oil","","","","","","","","","257","409","323","433","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Customer-Side Generation","KIUC reports only customer "own use" portion of PV. These stats inlcude estimate of full PV generation. Annualized based on installed capacity","","","","","","","66","90","232","293","514","3562","5024","6222","8422","13271","22441","32215","","","","","","","","","","","","","","","","",""
"TotalRenewable Electricity","Renewable Electricity","Total","MWh","","","642000","681000","615000","519000","676156","737938","716032","865135","944509","977599","964817","951418","1189273","1330298","1718567","2004168","2198799","2466023","2525836","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"EEPS","","","","","","","","","","","","121","153","268","1712","3316","4499","5176","6925","11710","16810","0","0","0","","","","","","","","","","","","","","36"
"","","HECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","","","","","","","","","","","","","","","","","Quantities estimated: HECO does not report these statistics on RPS reports starting 2015","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating Utility","","","","","","","","","","51000","58000","66000","75988","86967","122801","129314","113541","100997","86719","72441","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating PBFA","","","","","","","","","","","","","","","","","18471","21945","24915","27885","","","","","","","","","","","","","","","",""
"","","  Energy Efficiency Technologies Total","","","","","","","","","","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","","","","","","","","","","","","","","","",""
"","","Total EE","","","","0","0","0","0","0","0","343000","398000","519000","679995","738245","861138","950450","1090167","1162109","1228751","1295393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","HELCO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating Utility","","","","","","","","","","10000","11000","13000","13862","14501","19572","20678","17919","16678","15317","13956","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating PBFA","","","","","","","","","","","","","","","","","3934","4628","5081","5534","","","","","","","","","","","","","","","",""
"","","  Energy Efficiency Technologies Total","","","","","","","","","","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","","","","","","","","","","","","","","","",""
"","","Total EE","","","","0","0","0","0","0","0","59000","65000","70000","60913","64261","81931","97300","119618","135422","143468","151514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating Utility","","","","","","","","","","23000","26000","30000","27429","28492","29683","30181","28341","26774","24216","21658","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating PBFA","","","","","","","","","","","","","","","","","2505","3161","4102","5043","","","","","","","","","","","","","","","",""
"","","  Energy Efficiency Technologies Total","","","","","","","","","","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","","","","","","","","","","","","","","","",""
"","","Total EE","","","","0","0","0","0","0","0","100000","108000","118000","107264","117085","128496","141487","160186","174216","182534","190852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Customer Renewable Generation","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Solar Water Heating","MWh","","","","","","","7387","7558","7659","7831","7937","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Net Energy Metering","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Demand Side Management","MWh","","","","","","","","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","","","","","","","","","","","","","","38"
"","","Total EE","","","","0","0","0","0","7387","26595","28514","29180","29298","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","Total","MWh","","","0","0","0","0","7387","26595","530514","600180","736298","867405","938808","1088476","1207501","1394339","1494188","1576123","1657706","33549","34900","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"TEusy - Total Energy source "s" sold by utilitiy "u" in year "y"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total Renewable","HECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","8998000","7212000","7277000","7390000","7522000","7733000","7721000","7701000","7675000","7555962","7377537","7277229","7242311","6975996","6858536","6781665","6754083","6660195","6548697","","","","","","","","","","","","","","D22"
"","Total Renewable","HELCO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","922000","954000","959000","995000","1046000","1083000","1117000","1149000","1163000","1141030","1119881","1109783","1103572","1085171","1076104","1062521","1064785","1067398","1046950","","","","","","","","","","","","","","E22"
"","Total Renewable","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf","","1065000","1106000","1134000","1159000","1207000","1247000","1252000","1266000","1280000","1239228","1192243","1191559","1181026","1144832","1134873","1132056","1137630","1117742","1094786","","","","","","","","","","","","","","F22"
"","Total Renewable","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","423389","452699","443798","452631","438768","473608","477255","481461","496718","476948","460513","457274","460971","433159","431478","429924","432078","439088","445098","","","","","","","","","","","","","","41"
"","Total Renewable","Total","MWh","","","11408389","9724699","9813798","9996631","10213768","10536608","10567255","10597461","10614718","10413168","10150174","10035845","9987880","9639158","9500991","9406166","9388576","9284423","9135531","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","","","","","","","","","","","7","9","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","57",""
