"Metric 10:","","","","","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"RPS Chart Title","Renewable Electricity Generated in 2015","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Renewable Generation as Percent of Total Sales in 2015","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input 1","","","Total","","Notes","0.140685946105","0.175069685961","0.156667174115","0.129793727507","0.165501115749","0.175089079901","0.169398770068","0.204090158954","0.222452683152","0.234702590028","0.23763558142","0.237004955736","0.297679036993","0.345024430557","0.452207301323","0.532673992783","0.585498535667","0.664021609097","0.691212147384","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HECO","","Notes","0.0908535230051","0.112659456461","0.104095094132","0.110622462788","0.122374368519","0.119423251002","0.107822820878","0.128392416569","0.10674267101","0.120108465342","0.128531378426","0.118454771727","0.167358872051","0.19024272663","0.29197521162","0.379357429186","0.429232584201","0.484986550694","0.520012607088","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HELCO","","Notes","0.704989154013","0.81498951782","0.714285714286","0.309045226131","0.517208413002","0.592105263158","0.603401969561","0.642297650131","0.845012897678","0.884038982323","0.843236915351","0.864182457291","1.02700367534","1.16816151556","1.20196328608","1.18383542537","1.21693816123","1.35556277977","1.41422942834","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","MECO","","Notes","0.129107981221","0.101717902351","0.0837742504409","0.148835202761","0.136702568351","0.14875701684","0.15035942492","0.269944707741","0.3833984375","0.346846988609","0.347737415946","0.383027613404","0.428165849016","0.520423520656","0.727101182247","0.842164610231","0.885243884215","0.922187320509","0.854002517387","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","KIUC","","Notes","0.0","0.0","0.0","0.0","0.145612259782","0.199732690326","0.199746466774","0.195940065758","0.137950507129","0.205315883493","0.227756871142","0.221021750635","0.264810584614","0.312033225675","0.406254780081","0.526878006345","0.682903318382","1.04138578144","1.10898611092","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","year","2015","","","Notes","Renewable Electricity","Total Electricity Sales","Total Conventional","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total Renewable","HECORenewable Electricity","HECO","","Notes","1159629","6754083","5594454","0.171693033681","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HELCORenewable Electricity","HELCO","","Notes","518311","1064785","546474","0.48677526449","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MECORenewable Electricity","MECO","","Notes","402832","1137630","734798","0.354097553686","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","KIUCRenewable Electricity","KIUC","","Notes","118027","432078","314051","0.273161327353","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","TotalRenewable Electricity","Total","","Notes","2198799","9388576","7189777","0.234199414267","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input Final","","Total","HECO","","Notes","0.0908535230051","0.112659456461","0.104095094132","0.110622462788","0.122374368519","0.119423251002","0.107822820878","0.128392416569","0.10674267101","0.120108465342","0.128531378426","0.118454771727","0.167358872051","0.19024272663","0.29197521162","0.379357429186","0.429232584201","0.484986550694","0.520012607088","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HELCO","","Notes","0.704989154013","0.81498951782","0.714285714286","0.309045226131","0.517208413002","0.592105263158","0.603401969561","0.642297650131","0.845012897678","0.884038982323","0.843236915351","0.864182457291","1.02700367534","1.16816151556","1.20196328608","1.18383542537","1.21693816123","1.35556277977","1.41422942834","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","MECO","","Notes","0.129107981221","0.101717902351","0.0837742504409","0.148835202761","0.136702568351","0.14875701684","0.15035942492","0.269944707741","0.3833984375","0.346846988609","0.347737415946","0.383027613404","0.428165849016","0.520423520656","0.727101182247","0.842164610231","0.885243884215","0.922187320509","0.854002517387","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","KIUC","","Notes","0.0","0.0","0.0","0.0","0.145612259782","0.199732690326","0.199746466774","0.195940065758","0.137950507129","0.205315883493","0.227756871142","0.221021750635","0.264810584614","0.312033225675","0.406254780081","0.526878006345","0.682903318382","1.04138578144","1.10898611092","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","Total","","Notes","0.140685946105","0.175069685961","0.156667174115","0.129793727507","0.165501115749","0.175089079901","0.169398770068","0.204090158954","0.222452683152","0.234702590028","0.23763558142","0.237004955736","0.297679036993","0.345024430557","0.452207301323","0.532673992783","0.585498535667","0.664021609097","0.691212147384","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"