"Metric 12: Local Fuel","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Line Graph Input 1","","","Hydro","","Notes","0","0","0","0","25490","12001","115000","19628","-34357","-60191","29257","-36733","20328","13555","-30472","11940","21288","-106734","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Geothermal","","Notes","0","0","0","0","0","0","221000","-9000","18000","4334","-66743","33996","31319","33328","15183","-26390","-24532","-230495","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Wind ","","Notes","0","0","0","0","0","0","7000","75000","160400","-5107","13062","10851","83170","43880","115292","74319","34914","-612781","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biomass ","","Notes","0","0","0","0","0","0","333000","62000","-69000","86598","-13843","-39903","6414","-23476","73901","17473","-16448","-416716","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Solar ","","Notes","0","0","0","0","66","24","-90","0","7913.58339639","6350.23260361","22147.448","20106.509","40509.337","110382.655","194708.763253","191109.415379","102829.056368","-696057","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biofuels ","","Notes","0","0","0","0","0","257","252","14","1310","-294","3338","-1717","56094","-36647","7182","7304","16319","-53412","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Total","","Notes","0","39000","-66000","-96000","157156","61782","-21406.1209292","148803.323391","80573.380935","31690.2326036","-12781.552","-13399.491","237855.337","141024.655","388268.763253","285600.415379","194619.056368","-2198786","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Line Graph Input Final","","","Hydro","","Notes","0","0","0","0","25490","37491","152491","172119","137762","77571","106828","70095","90423","103978","73506","85446","106734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Geothermal","","Notes","0","0","0","0","0","0","221000","212000","230000","234334","167591","201587","232906","266234","281417","255027","230495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Wind ","","Notes","0","0","0","0","0","0","7000","82000","242400","237293","250355","261206","344376","388256","503548","577867","612781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biomass ","","Notes","0","0","0","0","0","0","333000","395000","326000","412598","398755","358852","365266","341790","415691","433164","416716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Solar ","","Notes","0","0","0","0","66","90","0","0","7913.58339639","14263.816","36411.264","56517.773","97027.11","207409.765","402118.528253","593227.943632","696057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biofuels ","","Notes","0","0","0","0","0","257","509","523","1833","1539","4877","3160","59254","22607","29789","37093","53412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Missing","","Notes","642000.0","681000.0","615000.0","519000.0","650600.0","700100.0","2531.87907076","3693.20246137","0.0","0.0","0.0","0.0","20.9999999998","23.0","12497.0","22342.0","82591.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","Total","","Notes","642000","681000","615000","519000","676156","737938","716531.879071","865335.202461","945908.583396","977598.816","964817.264","951417.773","1189273.11","1330297.765","1718566.52825","2004166.94363","2198786","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Line Graph Input Final","","","Hydro","","Notes","0.0","0.0","0.0","0.0","0.00249565096838","0.00355816596764","0.0144305214552","0.016241531816","0.0129783947157","0.00744931801734","0.0105247456842","0.00698446418812","0.00905327256635","0.0107870417727","0.00773666662772","0.00908404125549","0.0113684972034","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Geothermal","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0209136620627","0.0200047917138","0.021668027356","0.0225036223366","0.0165111455232","0.0200866992266","0.0233188624613","0.0276200473112","0.0296197522974","0.0271127471065","0.0245505814726","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Wind ","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.000662423685243","0.00773770245533","0.0228362166569","0.0227877817778","0.0246650944112","0.0260273051248","0.0344793890195","0.0402790368204","0.0529995239444","0.0614349140766","0.065268790496","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Biomass ","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0315124410265","0.0372730789007","0.0307120735567","0.0396227161609","0.0392855334303","0.0357570289298","0.0365709239598","0.0354584912915","0.043752383304","0.0460510690541","0.0443854318269","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Solar ","","Notes","0.0","0.0","0.0","0.0","6.46186598325e-06","8.54164831794e-06","0.0","0.0","0.000745529310943","0.0013697864089","0.00358725515444","0.00563159086255","0.00971448495577","0.0215174152141","0.0423238510859","0.0630679857906","0.0741387192264","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Biofuels ","","Notes","0.0","0.0","0.0","0.0","0.0","2.43911513079e-05","4.81676651127e-05","4.9351443709e-05","0.000172684757146","0.000147793639745","0.000480484373962","0.000314871343669","0.00593259029944","0.00234532933271","0.00313535714327","0.00394347707663","0.00568904166084","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Missing","","Notes","0.056274378442","0.0700278743846","0.0626668696462","0.0519174910027","0.0636983334652","0.0664445331932","0.000239596666377","0.000348498801871","0.0","0.0","0.0","0.0","2.1025482885e-06","2.3861005287e-06","0.00131533647385","0.00237525044742","0.00879696771907","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Total","","Notes","0.056274378442","0.0700278743846","0.0626668696462","0.0519174910027","0.0662004462995","0.0700356319605","0.0678068125611","0.0816549551314","0.0891129263534","0.0938810183414","0.0950542585772","0.0948019596755","0.11907162581","0.138009747843","0.180882870877","0.213069484807","0.234198029605","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"