"Metric 12: Transportation","","","Units","Source","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Line Graph Input 1","","HECO FFSB Total EE","HECO","","Notes","0","-0.283519833153","0.0394350353103","0.0135328562134","-0.128413138108","0.0173885089719","-0.0200160604348","-0.0341439234896","-0.222206558209","-0.046991787395","0.0170320590503","-0.0444050928001","0.0450711480265","-0.0637178882071","0.0617604800541","-0.0470892917464","-0.101062456986","-0.113096982127","-0.0589102395367","-0.154701534586","0.0461127775306","-0.00809460760713","0.106489358527","0.0877277966158","-0.0251213036712","-0.20865558076","-0.0152802612718","0.148625241984","-0.236904192026","-0.0868705856335","-0.0443192512145","-0.063383626201","0.010627089918","0.0856868373536","-0.0793488030585","0.0535180211351","0.212359661949","0.0765249130756","0.0225905923642","-0.203866064737","-0.0345172079285","-0.138290576759","-0.0118772438892","-0.103222435539","-0.0581873051887","0.101544610517","-0.0946362372567","-0.299484596091","0.37470579133","-0.060655396077","-0.00574691471726","-0.0241749386469","0.073018370826","0.0118444404434","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","HELCO FFSB Total EE","HELCO","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MECO FFSB Total EE","MECO","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","KIUC FFSB Total EE","KIUC","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total FFSB Total EE","Total","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bar Chart input/ Pie Graph Input","","year","#N/A","","Notes","Transportation Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Petroleum","","Notes","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Synthetic Natural Gas","","Notes","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Biofuels","","Notes","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input Final","","Total","HECO","","Notes","0","-0.283519833153","0.0394350353103","0.0135328562134","-0.128413138108","0.0173885089719","-0.0200160604348","-0.0341439234896","-0.222206558209","-0.046991787395","0.0170320590503","-0.0444050928001","0.0450711480265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","HELCO","","Notes","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","MECO","","Notes","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","KIUC","","Notes","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Total","","Notes","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""