"Metric 14:","","","","","Notes","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Input","Percent of 1990 levels","   Commercial Energy Sector","","","Notes","0.754428115757","0.435180378659","0.920871969121","0.333504956037","0.513863487004","0.318442892246","0.244364891755","0.308156846412","1.09377157967","0.27195740756","0.276442083883","0.238465883308","0.311535298359","0.280284505939","0.329107025018","0.331705363332","0.33495875651","0.279597654134","0.292587539466","0.345927797314","0.342057717279","0.384616764301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Industrial Energy Sector","","","Notes","2.11513682963","2.02067534262","1.98026408929","1.83940515634","2.03053367591","1.98092370133","2.07918105152","1.96927163465","1.47786913976","1.31042751719","1.33767560375","1.34088405453","1.50302190878","1.52792941107","1.51256484209","1.76591433937","1.79678470986","1.62942254952","1.42537982957","1.40620451924","1.39046598306","1.43228488783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Residential Energy Sector","","","Notes","0.0456336688721","0.0451296345613","0.074969711129","0.0413900137658","0.0423649906708","0.0416641679553","0.0415642015681","0.0492828747902","0.0891578162787","0.0629892925889","0.0758022324814","0.0762450327054","0.0771355434496","0.0645523054587","0.0645690261298","0.0644251804163","0.0669868948928","0.058944768794","0.0918702240999","0.0859343526633","0.0847729324443","0.0813057340829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Percent Progress","   Transportation Sector","","","Notes","11.1255441285","10.8803386157","10.3854658306","9.36711395891","10.0494111526","9.89780907391","8.73529217969","8.41440929536","8.22250707626","8.86615764676","9.02372551066","9.53791014042","10.1166929516","11.7645031556","12.4457281307","12.8499519637","13.0429453009","14.0937993271","9.71021621483","9.44888105592","9.65984910336","10.2312281736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","   Electric Power Sector","","","Notes","7.31298102704","6.0292140767","6.97813738834","7.00157536793","7.23262410047","7.49937226898","7.77095587653","7.70847864624","7.53582139003","7.63319898563","7.75212421191","7.74745814551","8.31874416772","7.74418017721","8.03315536883","7.98087266698","7.95547617647","7.98325048568","7.79709317658","7.58929347671","7.31338889643","7.18344446769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total","","","Notes","21.3537237698","19.4105380482","20.3397089885","18.582989453","19.8687974066","19.7382121044","18.8713582011","18.4495992975","18.419127002","18.1447308497","18.4657696427","18.9409632565","20.3271298699","21.3814495553","22.3851243928","22.9928695139","23.1971518386","24.0450147852","19.3171469845","18.8762412018","18.7905346326","19.3128800275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Graph Input","Percent of 1990 levels","   Commercial Energy Sector","","","Notes","","","1.52136267238","3.52891982018","0.428483267794","-0.812341347816","-0.169909429256","0.125066759678","1.76039729022","2.42177692959","0.00929523025296","-0.0794504400602","0.141617758928","-0.0705606214244","0.102969897871","0.00610912172139","0.00769628121348","-0.131978894657","0.0273568913157","0.115494957754","-0.00947387274936","0.103205873116","-1.04003504161","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","Total Emissions (MMTCO2E)","   Industrial Energy Sector","","","Notes","","","-0.427806660779","-1.04438400669","0.693168533341","-0.586384459664","0.732099396196","-3.05679428029","-3.36888107514","-0.26274927355","0.0338607819479","0.0041268306035","0.209412041473","0.0406908922518","-0.0261654885384","0.420446855345","0.0883974295785","-0.525713981301","-0.420087957685","-0.027800095292","-0.0222003369706","0.0577074474128","-2.09750430533","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","Total Emissions (MMTCO2E)","   Residential Energy Sector","","","Notes","","","59.2024708007","1.14465670144","0.229749327072","-0.214405540203","-0.0251836161007","1.89672815764","-10.9270187497","0.601241500387","-0.738258682118","-0.0146775375101","-0.0290908549207","0.39944410165","-0.000883820090495","0.00759667280328","-0.136322959996","0.376623470899","-2.47353378001","0.128380486119","0.0288188712881","0.0885861931205","2.27925503058","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","","   Transportation Sector","","","Notes","","","-2.01819599996","-1.3760055856","0.388014949635","-0.140876715132","-0.9468792879","-0.134246469076","-0.0707829860597","0.221716278131","0.0697392257471","0.244637965139","0.36455682829","1.63335310671","-1.06614813502","-0.306187495324","-0.111918615342","-0.548061637453","1.47682150589","-0.184646368086","0.125826142944","0.389834897738","-11.4402836241","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","","   Electric Power Sector","","","Notes","","","0.739171008717","0.0699967891909","0.741954186704","3.31954169847","-1.45706206323","0.136420657946","0.436557005221","-0.436983651855","-0.371388371857","0.0106253872558","-1.31488172317","0.571271671501","-0.670166421956","0.0725972848742","0.038024866597","-0.043228823182","0.277735031338","0.429238762273","0.998523883414","318.59323579","-55.4549580731","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","","Percent of 1990 levels","","","Notes","","","0.478168880088","-1.73243977099","0.464067574362","-0.087940591154","-0.536581642749","-0.16990201158","-0.0104927649592","-0.0935038691894","0.100043471891","0.164543338601","0.574514795712","1.02700754943","#N/A","-0.589242538299","-0.124627309948","-0.459938177654","1.75672856397","-0.216493571901","-0.0345942168502","0.203787300484","-9.46318408764","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"