"Metric 1: (UNUSED)","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Fuel Energy Burn Content","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2010","2011","2012","2013","","","","","","","","","","","","","","","","",""
"Residential","All Fuels","0","Billion Btu","","Notes","100","131","174","167","178","196","222","296","337","710","769","902","823","849","821","549","861","905","852","1273","2102","1933","1835","1920","1235","849","795","838","844","849","824","814","1297","752","770","758","755","873","1525","1097","1304","1312","1329","1124","1122","1119","1158","1026","1556","1465","1448","1389","1777","1437","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","All Fuels","0","Billion Btu","","Notes","1115","1344","1350","1327","1509","1460","1623","1686","1970","2893","3701","3190","2943","2993","2579","2257","3106","3581","3444","4279","5618","4374","3958","3753","2676","3449","4060","5455","17216","15046","10872","6614","13210","5190","7610","4997","3996","4773","15424","4351","4465","3944","4940","4465","5145","5189","5235","4467","4742","5545","5496","6151","5695","5758","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","All Fuels","0","Billion Btu","","Notes","14259","18832","19272","18899","19114","21350","21441","24359","22414","22181","22913","20137","22688","22997","21576","21254","20821","21423","20357","26004","28689","26010","33360","17530","16534","19646","26371","26640","31656","28028","32599","31443","31756","31830","35524","35419","36273","32318","25968","23652","25098","23585","23263","24008","23780","27775","27199","25075","22844","23776","23042","23376","22971","21933","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","All Fuels","-","Billion Btu","","Notes","24933.0","32002.0","30740.0","30324.0","34218.0","33623.0","34296.0","35467.0","43348.0","45385.0","44612.0","46593.0","44493.0","47328.0","44405.0","46496.0","51195.0","56985.0","60342.0","69677.0","66464.0","67002.0","59867.0","54615.0","55987.0","67669.0","68703.0","58492.0","72349.0","78634.0","82119.0","87324.0","86396.0","78993.0","85261.0","80698.0","63561.0","58697.0","57371.0","69067.0","71451.0","81332.0","82298.0","90793.0","96078.0","86323.0","94491.0","122790.0","76780.0","81437.0","81926.6784947","84200.2946214","77979.4355195","77127.6193844","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","All Fuels","0","Billion Btu","","Notes","36845","42029","35366","39142","40632","45356","57240","69630","78654","79756","80732","92240","91983","93526","84255","84047","80489","84361","84288","86682","80248","57086","42326","63258","73364","75220","58370","65645","68594","75863","72426","63877","57730","51411","54766","57458","58027","58564","57235","54014","53737","50681","57863","72133","76058","93055","87153","72535","60819","52897","55963","62253","64290","64337","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","All Fuels","0","Billion Btu","","Notes","17311.0","19176.0","21192.0","24002.0","26402.0","27339.0","29374.0","31040.0","34422.0","38192.0","42693.0","47354.0","53667.0","55121.0","56955.0","58328.0","61952.0","64752.0","66553.0","67498.0","69543.0","69597.0","66332.0","68080.0","69697.0","69102.0","72389.0","76184.0","81422.0","85381.0","97627.0","80476.0","91746.0","89911.0","92956.0","96005.0","99393.0","98544.0","97137.0","98399.0","99881.0","99784.0","107433.0","99171.0","103010.0","102667.0","102474.0","102518.0","99874.0","97329.0","93959.7369502","92689.9683266","87904.7199705","84127.9613146","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","94563.0","113514.0","108094.0","113861.0","122053.0","129324.0","144196.0","162478.0","181145.0","189117.0","195420.0","210416.0","216597.0","222814.0","210591.0","212931.0","218424.0","232007.0","235836.0","255413.0","252664.0","226002.0","207678.0","209156.0","219493.0","235935.0","230688.0","233254.0","272081.0","283801.0","296467.0","270548.0","282135.0","258087.0","276887.0","275335.0","262005.0","253769.0","254660.0","250580.0","255936.0","260638.0","277126.0","291694.0","305193.0","316128.0","317710.0","328411.0","266615.0","262449.0","261835.415445","270059.262948","260617.15549","254720.580699","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","94563.0","113514.0","108094.0","113861.0","122053.0","129324.0","144196.0","162478.0","181145.0","189117.0","195420.0","210416.0","216597.0","222814.0","210591.0","212931.0","218424.0","232007.0","235836.0","255413.0","252664.0","226002.0","207678.0","209156.0","219493.0","235935.0","230688.0","233254.0","272081.0","283801.0","296467.0","270548.0","282135.0","258087.0","276887.0","275335.0","262005.0","253769.0","254660.0","250580.0","255936.0","260638.0","277126.0","291694.0","305193.0","316128.0","317710.0","328411.0","266615.0","262449.0","261835.415445","270059.262948","260617.15549","254720.580699","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","All Fuels","0","Billion Btu","","Notes","17311.0","19176.0","21192.0","24002.0","26402.0","27339.0","29374.0","31040.0","34422.0","38192.0","42693.0","47354.0","53667.0","55121.0","56955.0","58328.0","61952.0","64752.0","66553.0","67498.0","69543.0","69597.0","66332.0","68080.0","69697.0","69102.0","72389.0","76184.0","81422.0","85381.0","97627.0","80476.0","91746.0","89911.0","92956.0","96005.0","99393.0","98544.0","97137.0","98399.0","99881.0","99784.0","107433.0","99171.0","103010.0","102667.0","102474.0","102518.0","99874.0","97329.0","93959.7369502","92689.9683266","87904.7199705","84127.9613146","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Direct","Sum Res Comm Ind","0","Billion Btu","","Notes","15474","20307","20796","20393","20801","23006","23286","26341","24721","25784","27383","24229","26454","26839","24976","24060","24788","25909","24653","31556","36409","32317","39153","23203","20445","23944","31226","32933","49716","43923","44295","38871","46263","37772","43904","41174","41024","37964","42917","29100","30867","28841","29532","29597","30047","34083","33592","30568","29142","30786","29986","30916","30443","29128","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","All Fuels","-","Billion Btu","","Notes","24933.0","32002.0","30740.0","30324.0","34218.0","33623.0","34296.0","35467.0","43348.0","45385.0","44612.0","46593.0","44493.0","47328.0","44405.0","46496.0","51195.0","56985.0","60342.0","69677.0","66464.0","67002.0","59867.0","54615.0","55987.0","67669.0","68703.0","58492.0","72349.0","78634.0","82119.0","87324.0","86396.0","78993.0","85261.0","80698.0","63561.0","58697.0","57371.0","69067.0","71451.0","81332.0","82298.0","90793.0","96078.0","86323.0","94491.0","122790.0","76780.0","81437.0","81926.6784947","84200.2946214","77979.4355195","77127.6193844","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","All Fuels","0","Billion Btu","","Notes","36845","42029","35366","39142","40632","45356","57240","69630","78654","79756","80732","92240","91983","93526","84255","84047","80489","84361","84288","86682","80248","57086","42326","63258","73364","75220","58370","65645","68594","75863","72426","63877","57730","51411","54766","57458","58027","58564","57235","54014","53737","50681","57863","72133","76058","93055","87153","72535","60819","52897","55963","62253","64290","64337","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Life Cycle Content","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2010","2011","2012","2013","","","","","","","","","","","","","","","","",""
"Residential","Total","Direct Fuel Use","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0.0478087937726","0.0491089832365","0.0560904592594","0.0493125212505","0.0475400008548","0.0444536882048","0.0284215519394","0.0450728019799","0.0453892664522","0.0411336405927","0.0589036804429","0.11927704027","0.109265476944","0.102655880363","0.100230480588","0.0656393217371","0.0420487392518","0.0370407754811","0.0365716226035","0.0341597070608","0.0325026551404","0.0297306655853","0.0286449406622","0.0406239157423","0.0264533521449","0.0271789954059","0.0270854529254","0.0268711754127","0.02944825638","0.0493537930945","0.0364498711033","0.0410310965537","0.04100686896","0.0401453999573","0.0330354609002","0.0310503330368","0.0292254178058","0.0289886878886","0.025525076734","0.0360028711384","0.0350606035688","0.0338898193413","0.0319052004364","0.0389476877705","0.0325958818911","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","Total","Direct Fuel Use","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0.196294917823","0.23798576904","0.199725846941","0.177350022624","0.168486409846","0.140536345456","0.117731051242","0.163484490509","0.18070367208","0.167180516486","0.199240145604","0.28324328075","0.224898356716","0.204279325175","0.184992856","0.127212146832","0.159956747745","0.172843112535","0.212215330208","0.566682212419","0.473215293341","0.328958012727","0.206256828625","0.374048684161","0.163159609939","0.22874036296","0.16070619003","0.134137105981","0.149347254495","0.455248196296","0.140886294673","0.13992961208","0.124942188","0.146394556042","0.127524973893","0.136762949569","0.130803538292","0.126708079829","0.108026668835","0.11204153931","0.13147754756","0.127477790578","0.138255016925","0.127649174276","0.127349296917","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","Total","Direct Fuel Use","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","1.49691080557","1.46616980206","1.2563835311","1.36218541235","1.28895348964","1.17201510112","1.10249714275","1.09193490354","1.07783796393","0.985559471325","1.20790448433","1.28761597282","1.16694841761","1.47128125636","0.729993458322","0.643595637247","0.72875635843","0.925899911333","0.882372031177","0.984587302044","0.82590708673","0.90102988504","0.850330728476","0.834837010169","0.841747897755","0.942153741524","0.942497818259","0.975232841665","0.864429466143","0.725112542446","0.650273687122","0.672991739113","0.628682442456","0.601951002538","0.58782476523","0.54981868286","0.607855262558","0.572131105774","0.51663676258","0.464170018762","0.494885000779","0.469653091005","0.467846924873","0.452255708824","0.427006467243","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","Total","Ground/Water Transportation ","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","8.33343119718","7.91846395884","8.54276098982","8.08339386092","7.79067228511","6.90383105386","6.69132870883","6.83424874063","7.03832930356","6.92821457576","7.18501287937","6.52210382961","5.53298835157","4.51259357655","4.90814553499","5.02534595372","5.29494662466","4.45101972468","4.11331820428","4.379682372","4.54090342526","4.25742596988","4.08783732976","3.79298864939","3.46393188932","3.72826971524","3.71568328387","3.29548125726","3.14839214953","3.2204335404","3.39709737098","3.35852965846","3.51812515489","3.60141222086","3.97531881495","3.96049302605","3.90120586587","3.80366544841","4.01719138097","2.80204270685","2.80421643331","2.8116707778","2.93031342389","2.79374933397","2.74638480057","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","Total","Air Transportation ","Metric Tons CO2e/Capita","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","4.33181275376","4.15842089893","4.63178502559","4.44556547767","4.21925453473","3.68436375259","3.50961719404","3.39877056934","3.41661780886","3.28236205431","3.23515769154","2.8964465226","2.05888194542","1.50796940431","2.13636599492","2.31457860685","2.26111510693","1.65317275224","1.76245254486","1.72643961901","1.80648703248","1.61765689798","1.39594668123","1.22709361731","1.10041829882","1.17595850371","1.24722464198","1.2704019136","1.27274864958","1.29191902537","1.19534422602","1.15408872339","1.08514627594","1.19547254345","1.41442028682","1.4093389166","1.6353842639","1.47282793989","1.19789274436","0.99441400865","0.887565024302","0.915242503512","0.998925747297","1.0151188261","1.00800847155","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","Total","Electrical Power Production","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","2.57182937226","2.72648500176","2.94819371831","3.21633812775","3.08348716314","3.08862620552","3.02072819695","3.24439853764","3.25262705837","3.21507398432","3.12518951506","3.11403052372","3.11383674025","2.93124056059","2.85193390075","2.72783048642","2.57672976699","2.543367536","2.53776133703","2.54156732263","2.52233964425","2.70275505386","2.18172513745","2.40408281558","2.34936277835","2.43658379133","2.539215147","2.65041879143","2.60544604197","2.68530977074","2.66847340353","2.63020478797","2.61184287421","2.71654909053","2.37231876333","2.32744025455","2.20244465707","2.11572488906","2.06851452723","1.99266701329","1.99060396917","1.87800232331","1.81442725268","1.68964694224","1.60148827378","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Total","Total","0","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","12.6462750866","12.3982135149","13.0031545454","12.8885799449","12.3791393486","11.3494623942","10.9607066517","11.3791394743","11.5948872644","11.3371621885","11.7762507048","11.3262706472","10.1479373431","9.22205059903","8.77529623065","8.58962354596","8.80243823708","8.13017106003","7.78223852529","8.50667891616","8.39486810473","8.2198995871","7.35479496497","7.44658107504","6.8446555275","7.36292660647","7.38518789209","7.08214117175","6.79706316852","7.13545784297","6.89318062741","6.84268689417","6.92459952852","7.10645226993","7.0960227783","7.00556524606","6.87153474159","6.64721821096","6.73589441635","5.40692414935","5.45624355439","5.32069380204","5.38274781881","5.10224884708","4.9348247204","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2010","2011","2012","2013","","","","","","","","","","","","","","","","",""
"Total","Total","0","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","12.6462750866","12.3982135149","13.0031545454","12.8885799449","12.3791393486","11.3494623942","10.9607066517","11.3791394743","11.5948872644","11.3371621885","11.7762507048","11.3262706472","10.1479373431","9.22205059903","8.77529623065","8.58962354596","8.80243823708","8.13017106003","7.78223852529","8.50667891616","8.39486810473","8.2198995871","7.35479496497","7.44658107504","6.8446555275","7.36292660647","7.38518789209","7.08214117175","6.79706316852","7.13545784297","6.89318062741","6.84268689417","6.92459952852","7.10645226993","7.0960227783","7.00556524606","6.87153474159","6.64721821096","6.73589441635","5.40692414935","5.45624355439","5.32069380204","5.38274781881","5.10224884708","4.9348247204","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","Total","Electrical Power Production","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","2.57182937226","2.72648500176","2.94819371831","3.21633812775","3.08348716314","3.08862620552","3.02072819695","3.24439853764","3.25262705837","3.21507398432","3.12518951506","3.11403052372","3.11383674025","2.93124056059","2.85193390075","2.72783048642","2.57672976699","2.543367536","2.53776133703","2.54156732263","2.52233964425","2.70275505386","2.18172513745","2.40408281558","2.34936277835","2.43658379133","2.539215147","2.65041879143","2.60544604197","2.68530977074","2.66847340353","2.63020478797","2.61184287421","2.71654909053","2.37231876333","2.32744025455","2.20244465707","2.11572488906","2.06851452723","1.99266701329","1.99060396917","1.87800232331","1.81442725268","1.68964694224","1.60148827378","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Direct","Sum Res Comm Ind","Direct Fuel Use","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","1.74101451716","1.75326455434","1.5121998373","1.58884795622","1.50497990034","1.35700513478","1.24864974593","1.30049219603","1.30393090247","1.1938736284","1.46604831037","1.69013629384","1.50111225127","1.77821646189","1.01521679491","0.836447105815","0.930761845428","1.13578379935","1.13115898399","1.58542922152","1.33162503521","1.25971856335","1.08523249776","1.24950961007","1.03136085984","1.19807309989","1.13028946121","1.13624112306","1.04322497702","1.22971453184","0.827609852898","0.853952447747","0.794631499416","0.788490958537","0.748385200023","0.717631965466","0.767884218657","0.727827873491","0.650188508149","0.612214429211","0.661423151908","0.631020700924","0.638007142234","0.61885257087","0.586951646051","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","Total","Ground/Water Transportation ","Billion BTU /GSP","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","8.33343119718","7.91846395884","8.54276098982","8.08339386092","7.79067228511","6.90383105386","6.69132870883","6.83424874063","7.03832930356","6.92821457576","7.18501287937","6.52210382961","5.53298835157","4.51259357655","4.90814553499","5.02534595372","5.29494662466","4.45101972468","4.11331820428","4.379682372","4.54090342526","4.25742596988","4.08783732976","3.79298864939","3.46393188932","3.72826971524","3.71568328387","3.29548125726","3.14839214953","3.2204335404","3.39709737098","3.35852965846","3.51812515489","3.60141222086","3.97531881495","3.96049302605","3.90120586587","3.80366544841","4.01719138097","2.80204270685","2.80421643331","2.8116707778","2.93031342389","2.79374933397","2.74638480057","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","Total","Air Transportation ","Metric Tons CO2e/Capita","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","4.33181275376","4.15842089893","4.63178502559","4.44556547767","4.21925453473","3.68436375259","3.50961719404","3.39877056934","3.41661780886","3.28236205431","3.23515769154","2.8964465226","2.05888194542","1.50796940431","2.13636599492","2.31457860685","2.26111510693","1.65317275224","1.76245254486","1.72643961901","1.80648703248","1.61765689798","1.39594668123","1.22709361731","1.10041829882","1.17595850371","1.24722464198","1.2704019136","1.27274864958","1.29191902537","1.19534422602","1.15408872339","1.08514627594","1.19547254345","1.41442028682","1.4093389166","1.6353842639","1.47282793989","1.19789274436","0.99441400865","0.887565024302","0.915242503512","0.998925747297","1.0151188261","1.00800847155","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""