"Metric 4: Cost Annual Consumption Data","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Input","Residential","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.91657124117","22.1292339543","28.0347742398","26.1793999022","10.4836813868","25.7670319096","17.9608675023","21.9340782686","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Commercial","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.4153194658","27.9570301102","38.0187780674","36.4326780906","13.0824501668","36.1455219366","22.2725985142","27.962915451","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Industrial (Excl Refineries)","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.7244473094","27.6761347706","36.6510075005","32.6524711039","12.559276632","32.0788295068","22.3931600927","29.7363887338","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Ground and Water Transportation","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","85.2835927768","114.544555931","169.955676221","159.563489301","47.8216771407","127.653598511","61.9470631218","25.6869797707","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Air Transportation","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.0465895248","97.6588725883","138.310857373","73.5530812988","30.1640739984","66.0801915235","27.2277128703","23.2862953086","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Power","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Sectors","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","157.797948029","281.339979709","385.102664395","318.796616241","102.23603033","272.707196632","121.344692841","80.5410237802","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Graph Input","Electricity","","","","Notes","553.143361","704.3716","676.780225","1128.153744","1437.243921","1786.076644","2783.090025","4526.194729","5998.657401","6231.365721","6409.6036","8377.923961","8328.570121","8622.9796","6994.478689","6966.239296","6373.467556","6991.969924","6985.282084","7380.871744","6279.611536","3153.047104","1733.223424","3902.625841","5274.971641","5540.718096","3244.669444","4145.556996","4512.346276","5537.443396","5048.244601","3913.378249","3192.363001","2541.067281","2884.227025","3176.224164","3271.153636","3358.782025","3214.323025","2885.8384","2863.427121","2543.890969","3337.835076","5192.067136","5754.891321","8402.288896","23.5070958584","66.0083137322","81.3462340129","74.5719817039","32.8735982287","79.2144837241","58.9670442732","78.9903292131","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Gasoline","","","","Notes","24.433249","89.283601","85.951441","58.079641","98.346889","81.649296","58.415449","44.023225","61.214976","77.986561","86.769225","87.703225","77.2641","85.914361","86.750596","78.304801","121.198081","181.953121","264.3876","1130.506129","882.387025","932.203024","526.840209","95.609284","123.632161","483.252289","490.932649","232.135696","644.296689","631.617424","741.690756","1026.625681","555.356356","479.566201","585.301249","433.8889","234.120601","185.395456","140.849424","258.212761","182.466064","318.658201","570.063376","1184.461056","1282.499344","756.910144","57.7400135534","73.0765475047","134.870470996","121.709415906","27.2084222805","83.8605615783","43.0271392268","17.4367121032","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Jet Fuel","","","","Notes","165.585424","335.549124","276.623424","280.160644","314.3529","341.1409","402.162916","615.04","742.5625","651.423529","471.107025","420.865225","367.450561","364.122724","225.690529","222.845184","233.692369","333.354564","285.812836","185.7769","345.625281","312.547041","430.936081","145.515969","242.144721","330.1489","505.260484","240.653169","1054.235961","1028.228356","1078.005889","767.234601","1502.027536","553.990369","819.276129","560.032225","110.439081","71.503936","226.2016","165.533956","282.206401","282.004849","140.1856","64.496961","141.514816","143.496441","53.0465895248","97.6588725883","138.310857373","73.5530812988","30.1640739984","66.0801915235","27.2277128703","23.2862953086","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Diesel","","","","Notes","0.196249","0.304704","0.456976","0.859329","1.056784","0.746496","0.910116","1.192464","1.2996","12.082576","12.680721","13.388281","12.809241","12.702096","13.271449","10.588516","15.147664","10.942864","7.139584","35.236096","33.895684","24.344356","58.186384","58.171129","0.212521","0.258064","0.231361","0.36","0.463761","0.505521","0.461041","0.649636","6.061444","10.017225","34.047225","22.3729","22.297284","0.850084","10.156969","2.076481","4.588164","4.901796","8.311689","3.470769","3.080025","2.729104","13.6708574836","45.8639514098","50.179968021","38.1646470396","14.1635869327","37.1238494299","11.2230999904","5.54942568831","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Fuel Oil","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.090225","7.7284","7.689529","7.4529","5.943844","7.219969","7.150276","7.767369","7.929856","8.462281","8.898289","8.462281","8.363664","8.105409","8.5264","8.444836","7.980625","7.230721","7.856809","8.328996","8.850625","8.5264","8.398404","8.185321","8.450649","8.398404","20.550738764","18.1084571437","29.331747115","5.13568060675","10.5089538996","13.339463576","9.08743261264","10.5696540124","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","","","","Notes","553.143361","704.3716","676.780225","1128.153744","1437.243921","1786.076644","2783.090025","4526.194729","5998.657401","6231.365721","6409.6036","8377.923961","8328.570121","8622.9796","6994.478689","6966.239296","6373.467556","6991.969924","6985.282084","7380.871744","6279.611536","3154.507225","1733.473225","3902.625841","5274.971641","5540.718096","3244.669444","4145.556996","4512.346276","5537.443396","5048.244601","3913.378249","3192.363001","2541.067281","2884.227025","3176.224164","3271.153636","3358.782025","3214.323025","2885.8384","2863.427121","2543.890969","3337.835076","5192.067136","5754.891321","8617.594561","2.17348381291","4.82257338939","10.8347803653","10.1865926743","3.00000936639","7.8027407162","5.73721233007","4.79653915523","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","SNG","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000196","9e-06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.399489","1.21538951857","2.53189450585","4.70145296828","4.33186063479","1.40882730901","3.95083513663","1.69518392319","0.914969123394","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biodiesel","","","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1.63896086275","2.60254427131","1.60059946286","2.99543804275","2.52039493451","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","Ethanol","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.61967665333","2.79901749181","7.2310654988","7.43826553006","3.21808106486","6.27663553836","2.16678681087","1.23843741143","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","All Fuels","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","157.797948029","281.339979709","385.102664395","318.796616241","102.23603033","272.707196632","121.344692841","80.5410237802","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"