"Metric 5: Annpual Consumption Price Data","","","","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"","","","","Source","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Variable EC(c,y)': Consumption by energy source and year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Sectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Electrictiy","ESTCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","4384","5302","6210","7095","7799","8368","9013","9281","10687","11757","12884","14287","15650","16695","17552","18117","19066","19771","20329","21151","21601","22675","22169","22454","22536","22637","23994","24901","26337","27195","28356","29084","29571","29541","30532","31348","32001","31947","31599","32008","33064","33385","33750","35454","36616","35959","36058","36117","35452","34551","34176","33989","32889","32425","32330","32453","32228","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Gasoline","MGTCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","18011","18628","19476","19733","20281","21444","22556","23774","25647","27189","29892","30844","32578","34713","34373","35542","36926","38905","40129","39428","37985","37744","38144","38031","39546","39890","41381","42998","44525","45985","45543","47120","46593","47399","48875","49132","48911","48800","48720","46672","48435","50626","54292","55134","55863","57064","59866","58497","54722","55263","50743","56482","53599","54394","54804","55928","56763","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Jet Fuel","JFTCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","23519","26540","26015","33588","37911","42262","52755","67277","77451","78939","80060","91531","91261","92860","83633","83464","79834","83618","83578","85912","79244","56165","41635","62471","72629","74436","56962","64386","67174","74414","71051","62557","56501","50409","53705","56358","57194","57955","56695","53720","53511","50437","57774","72056","75861","92831","86945","72329","60679","52748","55775","62077","64135","64201","73270","76095","74301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Diesel","DFTXB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","4943","9449","9271","7621","9917","9036","7643","6635","7824","8831","9315","9365","8790","9269","9314","8849","11009","13489","16260","33623","29705","30532","22953","9778","11119","21983","22157","15236","25383","25132","27234","32041","23566","21899","24173","20813","15288","13604","11856","16052","13494","17832","23852","34381","35769","27479","24594","40379","19083","21982","26631","23387","22598","20999","13306","14974","14412","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Fuel Oil","RFTXB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","12868","18318","16632","16738","17730","18470","20054","24800","27250","25523","21705","20515","19169","19082","15023","14928","15287","18258","16906","13630","18591","17679","20759","12063","15561","18170","22478","15513","32469","32066","32833","27699","38756","23537","28623","23665","10509","8456","15040","12866","16799","16793","11840","8031","11896","11979","20040","30762","8877","10564","9590","9152","7750","7310","6945","6271","7656","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","LGTCB","#N/A","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","SNG","NGTCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3015","2780","2773","2730","2438","2687","2674","2787","2816","2909","2983","2909","2892","2847","2920","2906","2825","2689","2803","2886","2975","2920","2898","2861","2907","2898","2914","2956","2817","2712","2732","2744","2813","2871","2796","2871","2983","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biodiesel","Biofuels are calculated off of monthly data from DBEDT, making this section irrelevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ethanol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note: Distillate Fuel Oil (considered here synonomous with Diesel) can either include or exclude fuel purchased by the power sector.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","dftcb","Distillate Oil Consumption (Includes power)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DFTXB","Distillate Oil End-use Consumption (Excludes power)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""